pref,store_type,payment_type,industry_type,month,store
千葉県小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,1129.3846153846155
千葉県小計,移動販売等（タクシー、屋台など）,合計,合計,6,1426.3846153846155
千葉県小計,通信販売,QRコード　利用可能店,合計,6,67.5
千葉県小計,通信販売,その他電子マネー等　利用可能店,合計,6,2005.1153846153845
千葉県小計,通信販売,クレジットカード　利用可能店,合計,6,1595.0384615384614
千葉県小計,通信販売,合計,合計,6,3495.346153846154
和歌山県小計,合計,QRコード　利用可能店,合計,6,4223.961538461538
和歌山県小計,合計,その他電子マネー等　利用可能店,合計,6,2704.0384615384614
和歌山県小計,合計,クレジットカード　利用可能店,合計,6,4563.5
和歌山県小計,合計,合計,合計,6,7715.923076923077
和歌山県小計,固定店舗,QRコード　利用可能店,その他サービス業,6,1070.5
和歌山県小計,固定店舗,QRコード　利用可能店,小売業,6,1987.8076923076924
和歌山県小計,固定店舗,QRコード　利用可能店,飲食業,6,838.3076923076923
和歌山県小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,506.7692307692308
和歌山県小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,1218.3076923076924
和歌山県小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,347.6923076923077
和歌山県小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,923.4230769230769
和歌山県小計,固定店舗,クレジットカード　利用可能店,小売業,6,2426.6923076923076
和歌山県小計,固定店舗,クレジットカード　利用可能店,飲食業,6,609.2307692307693
和歌山県小計,固定店舗,合計,その他サービス業,6,1662.5
和歌山県小計,固定店舗,合計,小売業,6,3467.4615384615386
和歌山県小計,固定店舗,合計,飲食業,6,1187.2692307692307
和歌山県小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,177.76923076923077
和歌山県小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,49.5
和歌山県小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,79.03846153846153
和歌山県小計,移動販売等（タクシー、屋台など）,合計,合計,6,225.6153846153846
和歌山県小計,通信販売,QRコード　利用可能店,合計,6,149.57692307692307
和歌山県小計,通信販売,その他電子マネー等　利用可能店,合計,6,581.7692307692307
和歌山県小計,通信販売,クレジットカード　利用可能店,合計,6,525.1153846153846
和歌山県小計,通信販売,合計,合計,6,1173.076923076923
埼玉県小計,合計,QRコード　利用可能店,合計,6,13927.038461538461
埼玉県小計,合計,その他電子マネー等　利用可能店,合計,6,15211.076923076924
埼玉県小計,合計,クレジットカード　利用可能店,合計,6,24467.0
埼玉県小計,合計,合計,合計,6,33095.692307692305
埼玉県小計,固定店舗,QRコード　利用可能店,その他サービス業,6,4093.846153846154
埼玉県小計,固定店舗,QRコード　利用可能店,小売業,6,6619.153846153846
埼玉県小計,固定店舗,QRコード　利用可能店,飲食業,6,2510.3846153846152
埼玉県小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,3734.923076923077
埼玉県小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,6051.846153846154
埼玉県小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,2359.846153846154
埼玉県小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,7266.076923076923
埼玉県小計,固定店舗,クレジットカード　利用可能店,小売業,6,10447.26923076923
埼玉県小計,固定店舗,クレジットカード　利用可能店,飲食業,6,4052.846153846154
埼玉県小計,固定店舗,合計,その他サービス業,6,9227.846153846154
埼玉県小計,固定店舗,合計,小売業,6,12706.192307692309
埼玉県小計,固定店舗,合計,飲食業,6,5553.7692307692305
埼玉県小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,621.6923076923077
埼玉県小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,423.11538461538464
埼玉県小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,661.2307692307693
埼玉県小計,移動販売等（タクシー、屋台など）,合計,合計,6,1020.5769230769231
埼玉県小計,通信販売,QRコード　利用可能店,合計,6,81.96153846153847
埼玉県小計,通信販売,その他電子マネー等　利用可能店,合計,6,2641.346153846154
埼玉県小計,通信販売,クレジットカード　利用可能店,合計,6,2039.576923076923
埼玉県小計,通信販売,合計,合計,6,4587.307692307692
大分県小計,合計,QRコード　利用可能店,合計,6,3418.923076923077
大分県小計,合計,その他電子マネー等　利用可能店,合計,6,3399.076923076923
大分県小計,合計,クレジットカード　利用可能店,合計,6,6625.692307692308
大分県小計,合計,合計,合計,6,8538.5
大分県小計,固定店舗,QRコード　利用可能店,その他サービス業,6,812.8076923076923
大分県小計,固定店舗,QRコード　利用可能店,小売業,6,1629.0384615384614
大分県小計,固定店舗,QRコード　利用可能店,飲食業,6,713.3846153846154
大分県小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,823.0384615384615
大分県小計,固定店舗,その他電子マネー等　利用可能店,小売業,6,1542.6538461538462
大分県小計,固定店舗,その他電子マネー等　利用可能店,飲食業,6,572.6538461538462
大分県小計,固定店舗,クレジットカード　利用可能店,その他サービス業,6,1706.076923076923
大分県小計,固定店舗,クレジットカード　利用可能店,小売業,6,3339.423076923077
大分県小計,固定店舗,クレジットカード　利用可能店,飲食業,6,1079.8076923076924
大分県小計,固定店舗,合計,その他サービス業,6,2062.0384615384614
大分県小計,固定店舗,合計,小売業,6,3954.730769230769
大分県小計,固定店舗,合計,飲食業,6,1447.9615384615386
大分県小計,移動販売等（タクシー、屋台など）,QRコード　利用可能店,合計,6,250.8846153846154
大分県小計,移動販売等（タクシー、屋台など）,その他電子マネー等　利用可能店,合計,6,69.6923076923077
大分県小計,移動販売等（タクシー、屋台など）,クレジットカード　利用可能店,合計,6,182.76923076923077
大分県小計,移動販売等（タクシー、屋台など）,合計,合計,6,382.46153846153845
大分県小計,通信販売,QRコード　利用可能店,合計,6,12.807692307692308
大分県小計,通信販売,その他電子マネー等　利用可能店,合計,6,391.03846153846155
大分県小計,通信販売,クレジットカード　利用可能店,合計,6,317.61538461538464
大分県小計,通信販売,合計,合計,6,691.3076923076923
大阪府小計,合計,QRコード　利用可能店,合計,6,30197.346153846152
大阪府小計,合計,その他電子マネー等　利用可能店,合計,6,31880.153846153848
大阪府小計,合計,クレジットカード　利用可能店,合計,6,53600.92307692308
大阪府小計,合計,合計,合計,6,75628.38461538461
大阪府小計,固定店舗,QRコード　利用可能店,その他サービス業,6,7585.038461538462
大阪府小計,固定店舗,QRコード　利用可能店,小売業,6,12186.615384615385
大阪府小計,固定店舗,QRコード　利用可能店,飲食業,6,7720.884615384615
大阪府小計,固定店舗,その他電子マネー等　利用可能店,その他サービス業,6,6540.423076923077
